Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
72	0.0	10.0	10.0	-10.0	168.1579	-0.02594249	2.4629023	12.154934	-14.968873	292000	-0.05855213	-0.0037457652	25.894426	-0.028429667	0.43775102	0.6004016	0.5855213	0.00025462508	0.01780205	79.0	1266.9860904216766
73	0.0	10.0	10.0	-10.0	189.72223	-0.014329909	2.2672029	13.207673	-11.916262	296000	-0.05817307	-0.0037847974	25.755774	-0.02522246	0.43775102	0.6004016	0.58173066	0.00021950032	0.018224305	79.0	1273.7326774597168
74	0.0	10.0	10.0	-10.0	229.28572	-0.027905205	2.475097	12.640467	-15.043757	300000	-0.057834536	-0.0037589502	25.591856	-0.023679733	0.43775102	0.6004016	0.5783454	0.0004486456	0.01783784	79.0	1280.4776015281677
75	0.0	10.0	10.0	-10.0	185.66667	-0.0116580045	2.476911	11.953599	-11.98158	304000	-0.057467062	-0.0037562058	25.445625	-0.022457123	0.43775102	0.6004016	0.5746707	0.0002496124	0.017193181	79.0	1287.2218205928802
76	0.0	10.0	10.0	-10.0	148.6842	-0.000532387	2.1891534	10.866105	-12.756853	308000	-0.057091486	-0.0037532367	25.323217	-0.021527926	0.43775102	0.6004016	0.5709149	0.00018096379	0.017221766	79.0	1293.981535434723
77	0.0	10.0	10.0	-10.0	165.05	0.006891026	2.534553	12.656619	-12.202112	312000	-0.056758154	-0.0037445824	25.209146	-0.02147611	0.43775102	0.6004016	0.5675815	-4.5911e-05	0.017050704	79.0	1300.9040205478668
78	0.0	10.0	10.0	-10.0	169.82353	-0.01789354	2.3273547	12.633537	-11.946458	316000	-0.056451697	-0.003744085	25.041359	-0.021159172	0.43775102	0.6004016	0.56451696	0.00043346034	0.017129472	79.0	1307.8891961574554
79	0.0	10.0	10.0	-10.0	174.23529	-0.0024766899	2.4353895	12.37035	-12.011772	320000	-0.056127727	-0.0037317332	24.907858	-0.020771027	0.43775102	0.6004016	0.5612772	0.00065172213	0.016985735	79.0	1315.0537405014038
80	0.0	10.0	10.0	-10.0	169.11111	-0.002120682	2.3548076	12.224931	-12.393945	324000	-0.055812012	-0.003727882	24.790709	-0.020583153	0.48092368	0.61646587	0.5581201	8.297832e-05	0.016896525	79.0	1506.3624856472015
81	0.0	10.0	10.0	-10.0	203.23077	0.0063149775	2.166758	12.319059	-13.215024	328000	-0.055509884	-0.0037074853	24.640703	-0.020266851	0.48092368	0.61646587	0.5550987	0.00035564194	0.016717939	79.0	1513.3805921077728
82	0.0	10.0	10.0	-10.0	186.26315	-0.026745612	2.2111933	12.404264	-13.006669	332000	-0.055174466	-0.0036952135	24.552652	-0.020033836	0.48092368	0.61646587	0.55174464	0.00015380992	0.01674717	79.0	1520.6638300418854
83	0.0	10.0	10.0	-10.0	181.0	0.011269356	2.6403759	12.480306	-11.969868	336000	-0.054839537	-0.003698513	24.445612	-0.019235611	0.48092368	0.61646587	0.54839534	0.0003050708	0.017526455	79.0	1527.53546667099
84	0.0	10.0	10.0	-10.0	165.0	-0.008350266	2.1765053	11.938323	-12.750319	340000	-0.05452402	-0.0036779642	24.357857	-0.018075943	0.48092368	0.61646587	0.54524016	-6.6108296e-05	0.01709798	79.0	1534.8334276676178
85	0.0	10.0	10.0	-10.0	180.11111	-0.007391946	2.3596604	12.815796	-12.512148	344000	-0.054197717	-0.0036566264	24.236465	-0.01794815	0.48092368	0.61646587	0.5419772	0.0006772228	0.016456865	79.0	1542.2280600070953
86	0.0	10.0	10.0	-10.0	219.6875	-0.016198661	2.3094244	12.731175	-12.371493	348000	-0.053896546	-0.0036473672	24.122168	-0.016184172	0.48092368	0.61646587	0.5389654	0.00038004885	0.017055849	79.0	1549.757234096527
87	0.0	10.0	10.0	-10.0	204.0	-0.04376333	2.4372973	12.467686	-12.03437	352000	-0.053585704	-0.0036450278	23.987787	-0.018729845	0.48092368	0.61646587	0.53585696	0.000116936746	0.017213235	79.0	1557.2430160045624
88	0.0	10.0	10.0	-10.0	193.64706	-0.01970658	2.2940514	12.796967	-13.089165	356000	-0.05326913	-0.0036285638	23.876076	-0.01665783	0.48092368	0.61646587	0.5326913	0.00040051228	0.016972028	79.0	1564.7808289527893
89	0.0	10.0	10.0	-10.0	191.66667	0.015169127	2.1009278	12.07783	-11.9549265	360000	-0.052940775	-0.0036301687	23.759203	-0.016679764	0.48092368	0.61646587	0.5294079	8.545226e-05	0.016569348	79.0	1572.5332894325256
90	0.0	10.0	10.0	-10.0	168.8	0.00771175	2.2938876	12.076719	-12.855919	364000	-0.05262369	-0.0035979562	23.680403	-0.015867233	0.48694777	0.5983936	0.52623683	0.00027889988	0.016601767	79.0	1750.9779777526855
91	0.0	10.0	10.0	-10.0	168.94118	-0.013861549	2.4323058	12.028259	-12.130333	368000	-0.05228007	-0.0035799865	23.567535	-0.015979132	0.48694777	0.5983936	0.5228006	0.00014234119	0.016691966	79.0	1758.5454235076904
92	0.0	10.0	10.0	-10.0	198.26666	-0.0089627635	2.3187263	12.145036	-12.090952	372000	-0.051948767	-0.003593672	23.453033	-0.015334765	0.48694777	0.5983936	0.51948756	0.0001924326	0.01676004	79.0	1766.1573770046234
93	0.0	10.0	10.0	-10.0	244.46153	-0.010763876	2.0961208	13.55197	-12.550247	376000	-0.05163384	-0.0035897065	23.333204	-0.013838768	0.48694777	0.5983936	0.5163384	0.000114262104	0.016170425	79.0	1773.7847926616669
94	0.0	10.0	10.0	-10.0	152.55	0.005568249	2.5647986	11.647523	-13.203239	380000	-0.051314097	-0.0036020204	23.25637	-0.014067967	0.48694777	0.5983936	0.5131409	0.00065336825	0.015738105	79.0	1781.6903252601624
95	0.0	10.0	10.0	-10.0	208.9375	-0.012930563	2.4254518	11.906335	-12.494884	384000	-0.051034752	-0.0035550918	23.152718	-0.014555931	0.48694777	0.5983936	0.5103476	0.00019919383	0.016399212	79.0	1789.6789999008179
96	0.0	10.0	10.0	-10.0	194.42857	-0.009934743	2.5267785	11.831174	-12.696551	388000	-0.05070764	-0.0035514086	23.040476	-0.013388951	0.48694777	0.5983936	0.5070763	0.0004010139	0.015389101	79.0	1797.8624022006989
97	0.0	10.0	10.0	-10.0	190.66667	-0.014592951	2.3295975	12.112935	-13.459325	392000	-0.050406765	-0.003541556	22.943617	-0.012478192	0.48694777	0.5983936	0.5040676	2.3256309e-05	0.015927916	79.0	1805.9987561702728
98	0.0	10.0	10.0	-10.0	224.06667	-0.014101336	2.1444693	11.883549	-13.244179	396000	-0.05014375	-0.0035305824	22.860321	-0.012596766	0.48694777	0.5983936	0.5014375	-0.00017582027	0.015739225	79.0	1814.1767070293427
99	0.0	10.0	10.0	-10.0	206.375	-0.0056620487	2.4425724	11.945984	-11.812136	400000	-0.04988515	-0.0034985747	22.783173	-0.011626244	0.48694777	0.5983936	0.4988514	0.00012972819	0.015481732	79.0	1822.376627445221
100	0.0	10.0	10.0	-10.0	181.82353	-0.0042979736	2.350258	11.639241	-12.858572	404000	-0.049578726	-0.003482585	22.695625	-0.011138916	0.5230924	0.61495984	0.49578726	0.00015109143	0.01527146	79.0	1997.4218225479126
101	0.0	10.0	10.0	-10.0	158.90475	-0.0036251873	2.3520203	12.685087	-14.810059	408000	-0.049295843	-0.0034730807	22.665527	-0.010839462	0.5230924	0.61495984	0.4929583	0.00020326988	0.015277532	79.0	2005.1550574302673
102	0.0	9.607689	10.0	-10.0	245.76923	-0.0043960307	2.0952141	11.072988	-12.303052	412000	-0.049000025	-0.0034598857	22.557867	-0.010452907	0.5230924	0.61495984	0.49000016	0.00019449215	0.015345442	79.0	2013.468516588211
103	0.0	10.0	10.0	-10.0	181.5	-0.0069495733	2.4101307	12.44104	-12.185504	416000	-0.048690528	-0.0034388967	22.482916	-0.009867668	0.5230924	0.61495984	0.48690525	0.0002800039	0.01498614	79.0	2021.9407370090485
104	0.0	9.701425	10.0	-10.0	179.23529	-0.025994774	2.4184175	11.810371	-12.401289	420000	-0.04840718	-0.003432521	22.403769	-0.009430885	0.5230924	0.61495984	0.48407182	0.0003852183	0.015327233	79.0	2030.332720041275
105	0.0	10.0	10.0	-10.0	221.92308	-0.005863617	2.1614537	12.440234	-12.584658	424000	-0.048114985	-0.0034150493	22.294632	-0.009207408	0.5230924	0.61495984	0.48114967	0.00015070789	0.0150893815	79.0	2038.7496185302734
106	0.0	10.0	10.0	-10.0	181.47058	-0.004987499	2.1881368	11.490981	-13.007596	428000	-0.047820885	-0.0034053915	22.237076	-0.008900642	0.5230924	0.61495984	0.47820893	-0.00021061588	0.015085178	79.0	2047.290679216385
107	0.0	10.0	10.0	-10.0	243.41667	-0.0264108	1.805975	11.508119	-12.602478	432000	-0.047546554	-0.0033956568	22.12943	-0.008515676	0.5230924	0.61495984	0.47546563	-8.964427e-05	0.015074101	79.0	2055.8004059791565
108	0.0	9.607689	10.0	-10.0	240.3077	-0.0092120655	2.0291753	12.619981	-13.053753	436000	-0.047273707	-0.0033792916	22.025284	-0.0083351135	0.5230924	0.61495984	0.47273698	0.00032636334	0.014734919	79.0	2064.3865411281586
109	0.0	10.0	10.0	-10.0	171.9	-0.019890483	2.2024026	12.066272	-11.88337	440000	-0.04702	-0.003375591	21.942991	-0.008253734	0.5230924	0.61495984	0.47020006	-6.191695e-05	0.015017291	79.0	2072.648229122162
110	0.0	10.0	10.0	-10.0	233.6923	-0.011951264	2.2742245	11.578174	-12.540597	444000	-0.046745677	-0.0033652808	21.855232	-0.007812818	0.5	0.58483934	0.46745685	0.00025488806	0.015005997	79.0	2226.759684085846
111	0.0	10.0	10.0	-10.0	186.82353	-0.012493212	2.240568	11.568137	-11.559042	448000	-0.046499085	-0.0033456106	21.809748	-0.007765452	0.5	0.58483934	0.46499094	0.00026750917	0.014714492	79.0	2235.239332675934
