Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
32	0.0	10.0	10.0	-10.0	102.333336	0.008590114	3.3717306	12.364395	-12.375428	132000	-0.08102212	-0.003922954	35.85383	-0.09288788	0.15963857	0.16014056	0.81022114	0.0014831695	0.01763506	79.0	287.01986932754517
33	0.0	10.0	10.0	-10.0	86.34884	0.0056595434	3.443051	12.905657	-12.076315	136000	-0.08044049	-0.003942821	35.691704	-0.08570417	0.15963857	0.16014056	0.8044049	0.0012980356	0.01832347	79.0	291.37182545661926
34	0.0	10.0	10.0	-10.0	97.46154	-0.0026231438	3.3530097	11.397894	-12.268107	140000	-0.079807095	-0.003923467	35.523117	-0.08005524	0.15963857	0.16014056	0.79807097	0.0008295321	0.01795367	79.0	295.92411184310913
35	0.0	10.0	10.0	-10.0	102.08572	0.002140023	3.1853728	11.265108	-11.102644	144000	-0.07915776	-0.0039109387	35.315125	-0.07649994	0.15963857	0.16014056	0.79157764	0.0004423737	0.018355161	79.0	300.61536741256714
36	0.0	10.0	10.0	-10.0	103.382355	0.0011484448	3.1881025	12.873288	-11.4480505	148000	-0.07853233	-0.0038850035	35.10742	-0.07765325	0.15963857	0.16014056	0.7853233	0.0008733184	0.018420449	79.0	305.1494119167328
37	0.0	10.0	10.0	-10.0	124.62963	-0.006726984	3.1328726	11.56147	-12.035513	152000	-0.077915646	-0.0038455091	34.82428	-0.07464854	0.15963857	0.16014056	0.7791565	0.00077099615	0.01905524	79.0	309.884521484375
38	0.0	10.0	10.0	-10.0	117.89655	0.0039025117	3.1960444	10.983447	-11.784147	156000	-0.07722523	-0.0037930186	34.605324	-0.07309469	0.15963857	0.16014056	0.77225226	0.0007784581	0.01863402	79.0	314.6076729297638
39	0.0	10.0	10.0	-10.0	134.56	-0.005371473	2.9605443	10.874703	-11.073119	160000	-0.07653383	-0.003829437	34.323025	-0.07626025	0.15963857	0.16014056	0.7653381	0.00039071098	0.019394394	79.0	319.3260123729706
40	0.0	10.0	10.0	-10.0	115.413795	-0.005909187	2.898684	10.641228	-11.348346	164000	-0.075824626	-0.003820428	34.107246	-0.078720726	0.2881526	0.29367468	0.7582461	0.00014293342	0.019333357	79.0	414.7723000049591
41	0.0	10.0	10.0	-10.0	107.40625	0.00502176	2.826065	12.21311	-10.781122	168000	-0.07508481	-0.0038276885	33.86311	-0.086610794	0.2881526	0.29367468	0.7508481	0.0007996716	0.019567186	79.0	419.72069549560547
42	0.0	10.0	10.0	-10.0	133.33333	0.0050424263	2.7896934	10.954838	-11.450034	172000	-0.07435372	-0.0038472998	33.60555	-0.10926183	0.2881526	0.29367468	0.7435371	-5.7380257e-05	0.019580627	79.0	424.6556761264801
43	0.0	10.0	10.0	-10.0	135.22223	-0.029052662	2.8630528	11.556528	-13.13863	176000	-0.0736428	-0.0038044974	33.353928	-0.12943585	0.2881526	0.29367468	0.73642796	0.0004659492	0.019493924	79.0	429.70472741127014
44	0.0	10.0	10.0	-10.0	108.58064	0.029808324	2.8272681	11.347498	-12.107968	180000	-0.07292534	-0.003866485	33.035713	-0.14215915	0.2881526	0.29367468	0.72925353	0.0016406891	0.02057613	79.0	434.7497274875641
